ticker,anndats,permno,surprise,surprise_quintile,beat,medest,actual_eps,numest,stdev,car_m1_p1,car_0_p30,car_0_p60,ann_year,sic_code,at,mkvalt,ni,mkcap_quintile,sector,revision_30d,revision_60d,dispersion,num_analysts,prior_surprise,prev_ann,days_since_last
003H,2015-02-10,14579,0.11764705882352934,Large Beat,1,0.17,0.19,7.0,0.01,0.021913507519999875,-0.15717246128104223,-0.1733764953448823,2015,,,,,Q2,Unknown,0.0,0.0,0.058823529411764705,7.0,,,
003H,2016-02-09,14579,0.05263157894736847,Beat,1,0.38,0.4,9.0,0.01,0.021913507519999875,-0.15717246128104223,-0.1733764953448823,2016,,,,,Q2,Unknown,0.0,0.0,0.02631578947368421,9.0,0.11764705882352934,2015-02-10,364.0
003H,2017-02-08,14579,0.06097560975609762,Beat,1,0.82,0.87,13.0,0.01,0.021913507519999875,-0.15717246128104223,-0.1733764953448823,2017,,,,,Q2,Unknown,0.0,0.0,0.012195121951219513,13.0,0.05263157894736847,2016-02-09,365.0
003H,2018-02-06,14579,0.03174603174603177,Beat,1,1.26,1.3,16.0,0.01,0.021913507519999875,-0.15717246128104223,-0.1733764953448823,2018,,,,,Q2,Unknown,0.0,0.0,0.007936507936507936,16.0,0.06097560975609762,2017-02-08,363.0
003H,2019-02-05,14579,0.019083969465648786,Beat,1,2.62,2.67,14.0,0.02,0.021913507519999875,-0.15717246128104223,-0.1733764953448823,2019,,,,,Q2,Unknown,0.0,0.0,0.007633587786259542,14.0,0.03174603174603177,2018-02-06,364.0
003H,2020-02-05,14579,0.0233918128654971,Beat,1,3.42,3.5,17.0,0.01,-0.12525504240157193,-0.16751840725917788,-0.12130403979471072,2020,,,,,Q2,Unknown,0.0,0.0,0.0029239766081871348,17.0,0.019083969465648786,2019-02-05,365.0
003H,2021-02-10,14579,0.020467836257310024,Beat,1,3.42,3.49,14.0,0.04,-0.05407171570544589,-0.14290158113127838,-0.2776061922488293,2021,,,,,Q2,Unknown,0.0,0.0,0.011695906432748539,14.0,0.0233918128654971,2020-02-05,371.0
003H,2022-02-08,14579,0.006741573033707921,Inline,1,4.45,4.48,16.0,0.04,0.09561850011819306,0.056567143729706615,0.00713699097428111,2022,,,,,Q2,Unknown,0.0,0.0,0.00898876404494382,16.0,0.020467836257310024,2021-02-10,363.0
003H,2023-02-07,14579,0.0406779661016948,Beat,1,5.9,6.14,16.0,0.05,-0.041027589136944265,-0.14642048458278267,-0.12622474488399849,2023,,,,,Q2,Unknown,0.0,0.0,0.00847457627118644,16.0,0.006741573033707921,2022-02-08,364.0
00C6,2015-11-19,14939,0.024390243902439046,Beat,1,2.46,2.52,4.0,0.02,0.014777679968000168,0.11564533856086845,0.29041146918167726,2015,,,,,Q2,Unknown,,0.0,0.008130081300813009,4.0,,,
00C6,2016-11-17,14939,0.004132231404958773,Inline,1,2.42,2.43,5.0,0.02,0.014777679968000168,0.11564533856086845,0.29041146918167726,2016,,,,,Q2,Unknown,0.0,0.0,0.008264462809917356,5.0,0.024390243902439046,2015-11-19,364.0
00C6,2017-12-06,14939,0.028455284552845465,Beat,1,2.46,2.53,8.0,0.01,0.014777679968000168,0.11564533856086845,0.29041146918167726,2017,,,,,Q2,Unknown,0.0,0.0,0.0040650406504065045,8.0,0.004132231404958773,2016-11-17,384.0
00C6,2018-11-20,14939,0.03184713375796181,Beat,1,3.14,3.24,9.0,0.02,0.018134064323305443,0.2195553146507847,0.39656167869501724,2018,,,,,Q2,Unknown,0.0,0.0,0.006369426751592356,9.0,0.028455284552845465,2017-12-06,349.0
00C6,2019-11-26,14939,0.03056768558951958,Beat,1,4.58,4.72,10.0,0.01,0.02688909210924595,-0.09278575965144487,-0.12126017633328767,2019,,,,,Q2,Unknown,0.0,0.0,0.002183406113537118,10.0,0.03184713375796181,2018-11-20,371.0
00C6,2020-11-18,14939,0.03411513859275037,Beat,1,4.69,4.85,10.0,0.01,0.0075008898709807426,0.06768447377940867,0.1227630388501253,2020,,,,,Q2,Unknown,,0.0,0.0021321961620469083,10.0,0.03056768558951958,2019-11-26,358.0
00C6,2021-11-22,14939,0.02805280528052819,Beat,1,6.06,6.23,14.0,0.02,0.014772362047090537,0.009207564744238006,-0.0705209705600578,2021,,,,,Q2,Unknown,0.0,0.0,0.003300330033003301,14.0,0.03411513859275037,2020-11-18,369.0
00C6,2022-11-17,14939,0.02141900937081662,Beat,1,7.47,7.63,13.0,0.02,0.006728575851594476,0.06433266092171075,0.07257505811042808,2022,,,,,Q2,Unknown,0.0,0.0,0.0026773761713520753,13.0,0.02805280528052819,2021-11-22,360.0
00C6,2023-11-20,14939,0.014616321559074203,Inline,1,8.21,8.33,14.0,0.02,0.005886886522517676,0.07274533267860384,0.04908304074958125,2023,,,,,Q2,Unknown,0.0,0.0,0.00243605359317905,14.0,0.02141900937081662,2022-11-17,368.0
00WY,2021-02-02,15850,-0.7421052631578947,Large Miss,0,1.9,0.49,9.0,0.13,-0.015782092244000068,-0.05803455519843903,-0.23281936192483255,2021,,,,,Q2,Unknown,0.0,0.0,0.06842105263157895,9.0,,,
00WY,2022-02-01,15850,0.056122448979591774,Beat,1,1.96,2.07,16.0,0.06,0.043183252176864695,-0.14686400203429795,-0.22503925582480278,2022,,,,,Q2,Unknown,0.0,0.0,0.030612244897959183,16.0,-0.7421052631578947,2021-02-02,364.0
00WY,2023-01-31,15850,-0.09420289855072457,Miss,0,1.38,1.25,18.0,0.06,-0.05502764808030014,-0.27392181804644045,-0.33967784737119855,2023,,,,,Q2,Unknown,0.0,0.0,0.043478260869565216,18.0,0.056122448979591774,2022-02-01,364.0
032M,2021-02-11,19807,0.008163265306122455,Inline,1,2.45,2.47,8.0,0.06,-0.00880457589562944,-0.03546893256841355,-0.03546893256841355,2021,,,,,Q2,Unknown,0.0,0.0040983606557378,0.024489795918367346,8.0,,,
